STATE NAME,2017 Population
Alabama,4875120
Alaska,739786
Arizona,7048876
Arkansas,3002997
California,39399349
Colorado,5615902
Connecticut,3573880
Delaware,957078
District of Columbia,695691
Florida,20976812
Georgia,10413055
Hawaii,1424203
Idaho,1718904
Illinois,12786196
Indiana,6660082
Iowa,3143637
Kansas,2910689
Kentucky,4453874
Louisiana,4670818
Maine,1335063
Maryland,6024891
Massachusetts,6863246
Michigan,9976447
Minnesota,5568155
Mississippi,2989663
Missouri,6108612
Montana,1053090
Nebraska,1917575
Nevada,2972405
New Hampshire,1349767
New Jersey,8888543
New Mexico,2093395
New York,19590719
North Carolina,10270800
North Dakota,755176
Ohio,11664129
Oklahoma,3932640
Oregon,4146592
Pennsylvania,12790447
Rhode Island,1056486
South Carolina,5021219
South Dakota,873286
Tennessee,6708794
Texas,28322717
Utah,3103118
Vermont,624525
Virginia,8465207
Washington,7425432
West Virginia,1817048
Wisconsin,5792051
Wyoming,578934
